id,title,authors,year,venue,url,area,relevance_to_project,adversarial_note
28,Flow Matching Posterior Sampling: A Training-free Conditional Generation for Flow Matching,Kaiyu Song; Hanjiang Lai; Yan Pan; Kun Yue; Jian yin,2024,arXiv,http://arxiv.org/abs/2411.07625v3,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
29,Flow matching on homogeneous spaces,Francesco Ruscelli,2026,arXiv,http://arxiv.org/abs/2603.24829v1,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
30,Variational Rectified Flow Matching,Pengsheng Guo; Alexander G. Schwing,2025,arXiv,http://arxiv.org/abs/2502.09616v1,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
31,Equivariant flow matching,Leon Klein; Andreas Krämer; Frank Noé,2023,arXiv,http://arxiv.org/abs/2306.15030v2,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
32,Structured Coupling for Flow Matching,Xavier Sumba; Carles Balsells-Rodas; Yingzhen Li,2026,arXiv,http://arxiv.org/abs/2605.07676v1,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
33,On the Guidance of Flow Matching,Ruiqi Feng; Chenglei Yu; Wenhao Deng; Peiyan Hu; Tailin Wu,2025,arXiv,http://arxiv.org/abs/2502.02150v3,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
34,On Flow Matching KL Divergence,Maojiang Su; Jerry Yao-Chieh Hu; Sophia Pi; Han Liu,2025,arXiv,http://arxiv.org/abs/2511.05480v1,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
35,Flow Matching on Symmetric Spaces,Francesco Ruscelli; Ferdinando Zanchetta; Rita Fioresi,2026,arXiv,http://arxiv.org/abs/2605.03588v1,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
36,Low-Pass Flow Matching,Francesco M. Ruscio; T. Konstantin Rusch,2026,arXiv,http://arxiv.org/abs/2606.02177v1,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
37,Drift Flow Matching,Chenrui Ma; Xi Xiao; Lin Zhao; Tianyang Wang; Ferdinando Fioretto; Yanning Shen,2026,arXiv,http://arxiv.org/abs/2605.17244v1,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
38,Discrete Flow Matching,Itai Gat; Tal Remez; Neta Shaul; Felix Kreuk; Ricky T. Q. Chen; Gabriel Synnaeve; Yossi Adi; Yaron Lipman,2024,arXiv,http://arxiv.org/abs/2407.15595v2,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
39,Source Separation by Flow Matching,Robin Scheibler; John R. Hershey; Arnaud Doucet; Henry Li,2025,arXiv,http://arxiv.org/abs/2505.16119v2,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
40,Reflected Flow Matching,Tianyu Xie; Yu Zhu; Longlin Yu; Tong Yang; Ziheng Cheng; Shiyue Zhang; Xiangyu Zhang; Cheng Zhang,2024,arXiv,http://arxiv.org/abs/2405.16577v1,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
41,Coupled Flow Matching,Wenxi Cai; Yuheng Wang; Naichen Shi,2025,arXiv,http://arxiv.org/abs/2510.23015v1,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
42,Flow Matching in Latent Space,Quan Dao; Hao Phung; Binh Nguyen; Anh Tran,2023,arXiv,http://arxiv.org/abs/2307.08698v1,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
43,Gaussian Mixture Flow Matching Models,Hansheng Chen; Kai Zhang; Hao Tan; Zexiang Xu; Fujun Luan; Leonidas Guibas; Gordon Wetzstein; Sai Bi,2025,arXiv,http://arxiv.org/abs/2504.05304v3,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
44,Stable Autonomous Flow Matching,Christopher Iliffe Sprague; Arne Elofsson; Hossein Azizpour,2024,arXiv,http://arxiv.org/abs/2402.05774v1,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
45,Exploring Diffusion and Flow Matching Under Generator Matching,Zeeshan Patel; James DeLoye; Lance Mathias,2024,arXiv,http://arxiv.org/abs/2412.11024v2,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
46,Flow Matching for Convective-Scale Precipitation Downscaling,Tom Wetherell,2026,arXiv,http://arxiv.org/abs/2606.00281v1,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
47,Exponential Family Variational Flow Matching for Tabular Data Generation,Andrés Guzmán-Cordero; Floor Eijkelboom; Jan-Willem van de Meent,2025,arXiv,http://arxiv.org/abs/2506.05940v4,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
48,Variational Flow Matching for Graph Generation,Floor Eijkelboom; Grigory Bartosh; Christian Andersson Naesseth; Max Welling; Jan-Willem van de Meent,2024,arXiv,http://arxiv.org/abs/2406.04843v2,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
49,Entropy-Controlled Flow Matching,Chika Maduabuchi,2026,arXiv,http://arxiv.org/abs/2602.22265v1,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
50,Tessellations of Semi-Discrete Flow Matching,Emile Pierret; Johannes Hertrich; Samuel Hurault; Julie Delon,2026,arXiv,http://arxiv.org/abs/2605.07513v1,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
51,Functional Flow Matching,Gavin Kerrigan; Giosue Migliorini; Padhraic Smyth,2023,arXiv,http://arxiv.org/abs/2305.17209v2,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
52,Hierarchical Rectified Flow Matching with Mini-Batch Couplings,Yichi Zhang; Yici Yan; Alex Schwing; Zhizhen Zhao,2025,arXiv,http://arxiv.org/abs/2507.13350v1,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
53,Purrception: Variational Flow Matching for Vector-Quantized Image Generation,Răzvan-Andrei Matişan; Vincent Tao Hu; Grigory Bartosh; Björn Ommer; Cees G. M. Snoek; Max Welling; Jan-Willem van de Meent; Mohammad Mahdi Derakhshani; Floor Eijkelboom,2025,arXiv,http://arxiv.org/abs/2510.01478v4,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
54,Flow Matching for Collaborative Filtering,Chengkai Liu; Yangtian Zhang; Jianling Wang; Rex Ying; James Caverlee,2025,arXiv,http://arxiv.org/abs/2502.07303v2,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
55,Flow Matching is Adaptive to Manifold Structures,Shivam Kumar; Yixin Wang; Lizhen Lin,2026,arXiv,http://arxiv.org/abs/2602.22486v2,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
56,CaLMFlow: Volterra Flow Matching using Causal Language Models,Sizhuang He; Daniel Levine; Ivan Vrkic; Marco Francesco Bressana; David Zhang; Syed Asad Rizvi; Yangtian Zhang; Emanuele Zappala; David van Dijk,2024,arXiv,http://arxiv.org/abs/2410.05292v1,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
57,Why Flow Matching is Particle Swarm Optimization?,Kaichen Ouyang,2025,arXiv,http://arxiv.org/abs/2507.20810v1,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
58,Score Distillation of Flow Matching Models,Mingyuan Zhou; Yi Gu; Huangjie Zheng; Liangchen Song; Guande He; Yizhe Zhang; Wenze Hu; Yinfei Yang,2025,arXiv,http://arxiv.org/abs/2509.25127v2,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
59,Quantum Flow Matching,Zidong Cui; Pan Zhang; Ying Tang,2025,arXiv,http://arxiv.org/abs/2508.12413v3,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
60,Reinforcement Learning for Flow-Matching Policies,Samuel Pfrommer; Yixiao Huang; Somayeh Sojoudi,2025,arXiv,http://arxiv.org/abs/2507.15073v1,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
61,Energy Guided Geometric Flow Matching,Aaron Zweig; Mingxuan Zhang; Elham Azizi; David Knowles,2025,arXiv,http://arxiv.org/abs/2509.25230v2,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
62,Laplacian Multi-scale Flow Matching for Generative Modeling,Zelin Zhao; Petr Molodyk; Haotian Xue; Yongxin Chen,2026,arXiv,http://arxiv.org/abs/2602.19461v1,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
63,Value Gradient Guidance for Flow Matching Alignment,Zhen Liu; Tim Z. Xiao; Carles Domingo-Enrich; Weiyang Liu; Dinghuai Zhang,2025,arXiv,http://arxiv.org/abs/2512.05116v2,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
64,Affordance-based Robot Manipulation with Flow Matching,Fan Zhang; Michael Gienger,2024,arXiv,http://arxiv.org/abs/2409.01083v5,flow/transport generative modeling,Retrieved by arXiv query: flow matching.,Checks whether the phenomenon is generic to transport samplers.
65,Towards Hierarchical Rectified Flow,Yichi Zhang; Yici Yan; Alex Schwing; Zhizhen Zhao,2025,arXiv,http://arxiv.org/abs/2502.17436v2,flow/transport generative modeling,Retrieved by arXiv query: rectified flow.,Checks whether the phenomenon is generic to transport samplers.
66,Statistical Properties of Rectified Flow,Gonzalo Mena; Arun Kumar Kuchibhotla; Larry Wasserman,2025,arXiv,http://arxiv.org/abs/2511.03193v3,flow/transport generative modeling,Retrieved by arXiv query: rectified flow.,Checks whether the phenomenon is generic to transport samplers.
67,Balanced conic rectified flow,Shin Seong Kim; Mingi Kwon; Jaeseok Jeong; Youngjung Uh,2025,arXiv,http://arxiv.org/abs/2510.25229v1,flow/transport generative modeling,Retrieved by arXiv query: rectified flow.,Checks whether the phenomenon is generic to transport samplers.
68,FluxSpace: Disentangled Semantic Editing in Rectified Flow Transformers,Yusuf Dalva; Kavana Venkatesh; Pinar Yanardag,2024,arXiv,http://arxiv.org/abs/2412.09611v1,flow/transport generative modeling,Retrieved by arXiv query: rectified flow.,Checks whether the phenomenon is generic to transport samplers.
69,Divergence-Suppressing Couplings for Rectified Flow,Yimeng Min; Carla P. Gomes,2026,arXiv,http://arxiv.org/abs/2605.17733v1,flow/transport generative modeling,Retrieved by arXiv query: rectified flow.,Checks whether the phenomenon is generic to transport samplers.
70,Text-to-Image Rectified Flow as Plug-and-Play Priors,Xiaofeng Yang; Cheng Chen; Xulei Yang; Fayao Liu; Guosheng Lin,2024,arXiv,http://arxiv.org/abs/2406.03293v4,flow/transport generative modeling,Retrieved by arXiv query: rectified flow.,Checks whether the phenomenon is generic to transport samplers.
71,RAC: Rectified Flow Auto Coder,Sen Fang; Yalin Feng; Yanxin Zhang; Dimitris N. Metaxas,2026,arXiv,http://arxiv.org/abs/2603.05925v1,flow/transport generative modeling,Retrieved by arXiv query: rectified flow.,Checks whether the phenomenon is generic to transport samplers.
72,VoiceFlow: Efficient Text-to-Speech with Rectified Flow Matching,Yiwei Guo; Chenpeng Du; Ziyang Ma; Xie Chen; Kai Yu,2023,arXiv,http://arxiv.org/abs/2309.05027v3,flow/transport generative modeling,Retrieved by arXiv query: rectified flow.,Checks whether the phenomenon is generic to transport samplers.
73,Flow Straight and Fast in Hilbert Space: Functional Rectified Flow,Jianxin Zhang; Clayton Scott,2025,arXiv,http://arxiv.org/abs/2509.10384v1,flow/transport generative modeling,Retrieved by arXiv query: rectified flow.,Checks whether the phenomenon is generic to transport samplers.
74,Taming Rectified Flow for Inversion and Editing,Jiangshan Wang; Junfu Pu; Zhongang Qi; Jiayi Guo; Yue Ma; Nisha Huang; Yuxin Chen; Xiu Li; Ying Shan,2024,arXiv,http://arxiv.org/abs/2411.04746v3,flow/transport generative modeling,Retrieved by arXiv query: rectified flow.,Checks whether the phenomenon is generic to transport samplers.
75,Delta Rectified Flow Sampling for Text-to-Image Editing,Gaspard Beaudouin; Minghan Li; Jaeyeon Kim; Sung-Hoon Yoon; Mengyu Wang,2025,arXiv,http://arxiv.org/abs/2509.05342v3,flow/transport generative modeling,Retrieved by arXiv query: rectified flow.,Checks whether the phenomenon is generic to transport samplers.
76,Improving Rectified Flow with Boundary Conditions,Xixi Hu; Runlong Liao; Keyang Xu; Bo Liu; Yeqing Li; Eugene Ie; Hongliang Fei; Qiang Liu,2025,arXiv,http://arxiv.org/abs/2506.15864v2,flow/transport generative modeling,Retrieved by arXiv query: rectified flow.,Checks whether the phenomenon is generic to transport samplers.
77,CaReFlow: Cyclic Adaptive Rectified Flow for Multimodal Fusion,Sijie Mai; Shiqin Han,2026,arXiv,http://arxiv.org/abs/2602.19140v1,flow/transport generative modeling,Retrieved by arXiv query: rectified flow.,Checks whether the phenomenon is generic to transport samplers.
78,Language Rectified Flow: Advancing Diffusion Language Generation with Probabilistic Flows,Shujian Zhang; Lemeng Wu; Chengyue Gong; Xingchao Liu,2024,arXiv,http://arxiv.org/abs/2403.16995v1,flow/transport generative modeling,Retrieved by arXiv query: rectified flow.,Checks whether the phenomenon is generic to transport samplers.
79,RectifID: Personalizing Rectified Flow with Anchored Classifier Guidance,Zhicheng Sun; Zhenhao Yang; Yang Jin; Haozhe Chi; Kun Xu; Kun Xu; Liwei Chen; Hao Jiang; Yang Song; Kun Gai; Yadong Mu,2024,arXiv,http://arxiv.org/abs/2405.14677v4,flow/transport generative modeling,Retrieved by arXiv query: rectified flow.,Checks whether the phenomenon is generic to transport samplers.
80,NAMI: Efficient Image Generation via Bridged Progressive Rectified Flow Transformers,Yuhang Ma; Bo Cheng; Shanyuan Liu; Hongyi Zhou; Liebucha Wu; Dawei Leng; Yuhui Yin,2025,arXiv,http://arxiv.org/abs/2503.09242v3,flow/transport generative modeling,Retrieved by arXiv query: rectified flow.,Checks whether the phenomenon is generic to transport samplers.
81,Probabilistic Precipitation Nowcasting with Rectified Flow Transformers,Johannes Schusterbauer; Jannik Wiese; Nick Stracke; Timy Phan; Björn Ommer,2026,arXiv,http://arxiv.org/abs/2605.31204v1,flow/transport generative modeling,Retrieved by arXiv query: rectified flow.,Checks whether the phenomenon is generic to transport samplers.
82,Straighten Viscous Rectified Flow via Noise Optimization,Jimin Dai; Jiexi Yan; Jian Yang; Lei Luo,2025,arXiv,http://arxiv.org/abs/2507.10218v1,flow/transport generative modeling,Retrieved by arXiv query: rectified flow.,Checks whether the phenomenon is generic to transport samplers.
83,Efficient Rectified Flow for Image Fusion,Zirui Wang; Jiayi Zhang; Tianwei Guan; Yuhan Zhou; Xingyuan Li; Minjing Dong; Jinyuan Liu,2025,arXiv,http://arxiv.org/abs/2509.16549v2,flow/transport generative modeling,Retrieved by arXiv query: rectified flow.,Checks whether the phenomenon is generic to transport samplers.
84,SlimSpeech: Lightweight and Efficient Text-to-Speech with Slim Rectified Flow,Kaidi Wang; Wenhao Guan; Shenghui Lu; Jianglong Yao; Lin Li; Qingyang Hong,2025,arXiv,http://arxiv.org/abs/2504.07776v2,flow/transport generative modeling,Retrieved by arXiv query: rectified flow.,Checks whether the phenomenon is generic to transport samplers.
85,RFWave: Multi-band Rectified Flow for Audio Waveform Reconstruction,Peng Liu; Dongyang Dai; Zhiyong Wu,2024,arXiv,http://arxiv.org/abs/2403.05010v3,flow/transport generative modeling,Retrieved by arXiv query: rectified flow.,Checks whether the phenomenon is generic to transport samplers.
86,PeRFlow: Piecewise Rectified Flow as Universal Plug-and-Play Accelerator,Hanshu Yan; Xingchao Liu; Jiachun Pan; Jun Hao Liew; Qiang Liu; Jiashi Feng,2024,arXiv,http://arxiv.org/abs/2405.07510v5,flow/transport generative modeling,Retrieved by arXiv query: rectified flow.,Checks whether the phenomenon is generic to transport samplers.
87,Improving the Training of Rectified Flows,Sangyun Lee; Zinan Lin; Giulia Fanti,2024,arXiv,http://arxiv.org/abs/2405.20320v2,flow/transport generative modeling,Retrieved by arXiv query: rectified flow.,Checks whether the phenomenon is generic to transport samplers.
88,Analyzing and Mitigating Model Collapse in Rectified Flow Models,Huminhao Zhu; Fangyikang Wang; Tianyu Ding; Qing Qu; Zhihui Zhu,2024,arXiv,http://arxiv.org/abs/2412.08175v2,flow/transport generative modeling,Retrieved by arXiv query: rectified flow.,Checks whether the phenomenon is generic to transport samplers.
89,GeneFlow: Translation of Single-cell Gene Expression to Histopathological Images via Rectified Flow,Mengbo Wang; Shourya Verma; Aditya Malusare; Luopin Wang; Yiyang Lu; Vaneet Aggarwal; Mario Sola; Ananth Grama; Nadia Atallah Lanman,2025,arXiv,http://arxiv.org/abs/2511.00119v1,flow/transport generative modeling,Retrieved by arXiv query: rectified flow.,Checks whether the phenomenon is generic to transport samplers.
90,Physics-Guided Rectified Flow for Low-light RAW Image Enhancement,Juntai Zeng,2025,arXiv,http://arxiv.org/abs/2509.08330v1,flow/transport generative modeling,Retrieved by arXiv query: rectified flow.,Checks whether the phenomenon is generic to transport samplers.
91,Order-Optimal Sample Complexity of Rectified Flows,Hari Krishna Sahoo; Mudit Gaur; Vaneet Aggarwal,2026,arXiv,http://arxiv.org/abs/2601.20250v1,flow/transport generative modeling,Retrieved by arXiv query: rectified flow.,Checks whether the phenomenon is generic to transport samplers.
92,RestoRect: Degraded Image Restoration via Latent Rectified Flow & Feature Distillation,Shourya Verma; Mengbo Wang; Nadia Atallah Lanman; Ananth Grama,2025,arXiv,http://arxiv.org/abs/2509.23480v2,flow/transport generative modeling,Retrieved by arXiv query: rectified flow.,Checks whether the phenomenon is generic to transport samplers.
93,"StreamFlow: Theory, Algorithm, and Implementation for High-Efficiency Rectified Flow Generation",Sen Fang; Hongbin Zhong; Yalin Feng; Yanxin Zhang; Dimitris N. Metaxas,2025,arXiv,http://arxiv.org/abs/2511.22009v2,flow/transport generative modeling,Retrieved by arXiv query: rectified flow.,Checks whether the phenomenon is generic to transport samplers.
94,Radar Detection through Rectified Flow Matching,P. Meena; Y. A. Rouzoumka; J. Pinsolle; C. Ren; M. N. El Korso; J. -P. Ovarlez,2026,arXiv,http://arxiv.org/abs/2603.18995v1,flow/transport generative modeling,Retrieved by arXiv query: rectified flow.,Checks whether the phenomenon is generic to transport samplers.
95,TumorGen: Boundary-Aware Tumor-Mask Synthesis with Rectified Flow Matching,Shengyuan Liu; Wenting Chen; Boyun Zheng; Wentao Pan; Xiang Li; Yixuan Yuan,2025,arXiv,http://arxiv.org/abs/2505.24687v1,flow/transport generative modeling,Retrieved by arXiv query: rectified flow.,Checks whether the phenomenon is generic to transport samplers.
96,JanusFlow: Harmonizing Autoregression and Rectified Flow for Unified Multimodal Understanding and Generation,Yiyang Ma; Xingchao Liu; Xiaokang Chen; Wen Liu; Chengyue Wu; Zhiyu Wu; Zizheng Pan; Zhenda Xie; Haowei Zhang; Xingkai yu; Liang Zhao; Yisong Wang; Jiaying Liu; Chong Ruan,2024,arXiv,http://arxiv.org/abs/2411.07975v2,flow/transport generative modeling,Retrieved by arXiv query: rectified flow.,Checks whether the phenomenon is generic to transport samplers.
